iter	Passed	Remaining
477	935	630
478	937	628
479	939	626
480	941	624
481	943	622
482	945	620
483	947	618
484	949	616
485	951	614
486	953	612
487	955	610
488	956	608
489	958	606
490	960	604
491	962	602
492	963	600
493	965	598
494	967	596
495	968	593
496	971	592
497	973	590
498	974	588
499	976	586
500	978	584
501	980	582
502	982	580
503	984	578
504	986	576
505	987	574
506	989	571
507	991	570
508	993	568
509	995	566
510	997	563
511	998	561
512	1000	559
513	1002	557
514	1004	555
515	1006	553
516	1007	551
517	1009	549
518	1011	547
519	1013	545
520	1014	543
521	1016	541
522	1018	539
523	1019	537
524	1021	535
525	1023	533
526	1025	531
527	1027	529
528	1029	527
529	1030	525
530	1032	523
531	1034	520
532	1035	518
533	1037	516
534	1039	514
535	1041	512
536	1042	510
537	1044	508
538	1045	506
539	1047	504
540	1048	502
541	1050	500
542	1052	498
543	1054	496
544	1056	494
545	1057	492
546	1059	489
547	1060	487
548	1062	485
549	1064	483
550	1065	481
551	1067	479
552	1069	477
553	1071	475
554	1072	473
555	1074	471
556	1075	469
557	1077	467
558	1078	465
559	1080	463
560	1082	461
561	1084	459
562	1085	457
563	1087	455
564	1089	452
565	1090	450
566	1092	448
567	1093	446
568	1095	444
569	1096	442
570	1098	440
571	1100	438
572	1101	436
573	1103	434
574	1105	432
575	1106	430
576	1107	428
577	1109	426
578	1110	424
579	1112	422
580	1114	420
581	1115	417
582	1117	416
583	1119	413
584	1120	411
585	1122	409
586	1124	407
587	1125	405
588	1127	403
589	1129	401
590	1131	399
591	1132	397
592	1134	395
593	1136	394
594	1137	391
595	1139	389
596	1140	387
597	1142	385
598	1143	383
599	1145	381
600	1147	379
601	1148	377
602	1150	375
603	1152	373
604	1153	371
605	1155	369
606	1157	367
607	1158	365
608	1160	363
609	1161	361
610	1163	359
611	1164	357
612	1165	355
613	1167	353
614	1169	351
615	1170	349
616	1172	347
617	1173	345
618	1175	343
619	1177	341
620	1178	339
621	1179	337
622	1181	335
623	1182	333
624	1184	331
625	1186	329
626	1188	327
627	1189	325
628	1191	323
629	1193	321
630	1194	319
631	1196	317
632	1197	315
633	1199	314
634	1200	312
635	1202	310
636	1204	308
637	1206	306
638	1208	304
639	1210	302
640	1211	300
641	1213	298
642	1215	296
643	1217	294
644	1218	292
645	1220	290
646	1222	289
647	1223	287
648	1225	285
649	1226	283
650	1228	281
651	1230	279
652	1232	277
653	1233	275
654	1234	273
655	1236	271
656	1238	269
657	1240	267
658	1242	265
659	1243	263
660	1245	261
661	1247	260
662	1249	258
663	1251	256
664	1253	254
665	1254	252
666	1256	250
667	1258	248
668	1260	246
669	1262	244
670	1263	242
671	1265	240
672	1266	239
673	1268	237
674	1269	235
675	1271	233
676	1272	231
677	1274	229
678	1276	227
679	1277	225
680	1279	223
681	1280	221
682	1281	219
683	1283	217
684	1284	215
685	1286	213
686	1288	211
687	1289	209
688	1291	208
689	1292	206
690	1294	204
691	1295	202
692	1297	200
693	1299	198
694	1300	196
695	1302	194
696	1304	192
697	1305	190
698	1307	188
699	1309	187
700	1310	185
701	1312	183
702	1313	181
703	1314	179
704	1316	177
705	1317	175
706	1319	173
707	1321	171
708	1322	169
709	1324	167
710	1325	165
711	1327	164
712	1328	162
713	1330	160
714	1332	158
715	1334	156
716	1335	154
717	1337	152
718	1338	150
719	1340	148
720	1342	147
721	1343	145
722	1345	143
723	1346	141
724	1348	139
725	1349	137
726	1351	135
727	1353	133
728	1354	131
729	1356	130
730	1357	128
731	1359	126
732	1360	124
733	1362	122
734	1364	120
735	1366	118
736	1367	116
737	1368	114
738	1370	113
739	1372	111
740	1373	109
741	1375	107
742	1377	105
743	1379	103
744	1380	101
745	1382	100
746	1383	98
747	1384	96
748	1386	94
749	1387	92
750	1389	90
751	1391	88
752	1392	86
753	1394	85
754	1395	83
755	1397	81
756	1399	79
757	1400	77
758	1402	75
759	1404	73
760	1405	72
761	1407	70
762	1408	68
763	1410	66
764	1411	64
765	1413	62
766	1414	60
767	1416	59
768	1418	57
769	1419	55
770	1421	53
771	1422	51
772	1424	49
773	1425	47
774	1427	46
775	1429	44
776	1430	42
777	1431	40
778	1433	38
779	1434	36
780	1436	34
781	1438	33
782	1439	31
783	1441	29
784	1443	27
785	1444	25
786	1445	23
787	1447	22
788	1449	20
789	1450	18
790	1452	16
791	1454	14
792	1456	12
793	1457	11
794	1459	9
795	1460	7
796	1462	5
797	1464	3
798	1465	1
799	1467	0
