iter	RMSE
0	0.1412085144
1	0.136173717
2	0.1313609866
3	0.1267703058
4	0.1224607801
5	0.1181546932
6	0.1140046876
7	0.110104923
8	0.1063555912
9	0.1027145428
10	0.09925164454
11	0.09589175159
12	0.09270984856
13	0.0896979747
14	0.08670769208
15	0.08380481081
16	0.08113618469
17	0.07862640017
18	0.07612723002
19	0.07375029777
20	0.07148310575
21	0.06936716276
22	0.06728305915
23	0.06523447475
24	0.0633328129
25	0.0614940126
26	0.05976987671
27	0.05800712113
28	0.0562623426
29	0.05465328643
30	0.05320948349
31	0.05172781162
32	0.05033051338
33	0.04899662897
34	0.04767595809
35	0.04640966943
36	0.04519758758
37	0.04402860936
38	0.04297279886
39	0.04195845939
40	0.04100845094
41	0.04015008262
42	0.03923109957
43	0.03833865585
44	0.0374479276
45	0.03663279967
46	0.03590871286
47	0.03513340026
48	0.03447120657
49	0.03373432371
50	0.03311181144
51	0.03251810124
52	0.03192349069
53	0.0313618575
54	0.0308087741
55	0.03026528746
56	0.02980592331
57	0.02926583874
58	0.02879947168
59	0.02832223783
60	0.02786215955
61	0.02746030117
62	0.02709301305
63	0.02666306102
64	0.02632767929
65	0.0259850894
66	0.02566596763
67	0.025351935
68	0.02508796339
69	0.02478059306
70	0.02453752671
71	0.02430176602
72	0.02401403025
73	0.02374216793
74	0.02349979753
75	0.02325130528
76	0.02303961751
77	0.02284568904
78	0.02264529021
79	0.02244787803
80	0.0222736436
81	0.02208244845
82	0.02189078921
83	0.02172902107
84	0.02155693988
85	0.02135527077
86	0.02120259099
87	0.02106236062
88	0.02091288527
89	0.02079283194
90	0.02066887935
91	0.02054253173
92	0.02041871433
93	0.02027839136
94	0.02014218262
95	0.02000059421
96	0.01986921726
97	0.01974815818
98	0.01963899695
99	0.0195413315
100	0.01941824815
101	0.01932119298
102	0.01921585717
103	0.01914665098
104	0.01905113121
105	0.01894916262
106	0.01885909538
107	0.01876639807
108	0.01870183521
109	0.01860419561
110	0.01854878822
111	0.01843260075
112	0.01834524513
113	0.01824890651
114	0.01819485186
115	0.01806827875
116	0.01796976262
117	0.01792802589
118	0.01781442161
119	0.01775871612
120	0.01765150038
121	0.01759275894
122	0.01753917911
123	0.01747006566
124	0.01740704989
125	0.01734539421
126	0.01728048466
127	0.01720187426
128	0.01707591863
129	0.01702765984
130	0.01695962601
131	0.0168757112
132	0.01678776236
133	0.01669610121
